"Portugues";"Kikongo"
"5";"tanu"
"marcador";"tidulu kya sisu"
"abafador";"mbumba"
"abafar";"mbumba"
"abafo";"mbumba"
"abaixar";"Kuluka"
"abaixo";"Kunsi"
"abalar";"mabanza"
"abalo";"mabanza"
"abanar";"Vuvila"
"abancar";"vunda"
"abandonada";"wayambulwa"
"abandonado";"Wayambulwa"
"abandonador";"yambudi"
"abandonar";"yambula"
"abcesso";"vimba"
"abdômem";"vumu"
"abelha";"bwinginini"
"abelheira";"bangu dya mbwinginini"
"abençoado";"a sambulwa"
"abertura";"zibula"
"abismo";"ntombe"
"abóbora";"lenge"
"aboboreira";"nsinga a lenge"
"abocar";"Mina"
"abolar";"Lengeka,  fitijeka, lengumuna"
"abolir";"vunza"
"abominação";"Fu kya kula,  fu kya lundumuna"
"abominado";"ofuete kúlwa, únkwa-iundumúnwa"
"aborrecer";"tokana"
"abortar";"vunza, sulula"
"aborto";"sulula"
"abraçar";"bumba kana"
"abraço";"bumba kana"
"abrandar";"lembeka, malembe"
"abrigar";"zingila"
"abrigo";"nzo"
"abril";"ngode ya ya"
"abrir";"yangula"
"absolutamente ";"yawonso"
"absoluto";"yawonso"
"absopção";"fiba"
"absorvente";"mfibi"
"absorver";"fiba"
"abstracto";"konda monika"
"abstrair";"vavuka"
"absurdo";"ki lembi lenda kana"
"abundância";"ayingi"
"abundante";"kya yingi"
"abundar";"ayingi"
"abusador";"sofitina"
"abusar";"sofitina"
"abusivo";"nsofitini"
"abuso";"kya mbi"
"acabador";"Manisi"
"acabamento";"manisa"
"acabar";"manisa"
"académico";"nlogo ki "
"animadora";"nlembe ki"
"acalentadora";"nlembe ki"
"acalentar";"lembika "
"acalorado";"Kyukusa, kyungula"
"acamar";"yela"
"acampamento";"Vundilu"
"acampar";"luvundu"
"acanhado";"nkwa nsoni"
"acanhar";"nsoni"
"acariciar";"lembi kila"
"acarretar";"nata"
"acasalar";"kwela"
"acaso";"susu muka"
"acatar";"baka"
"acavalar";"mata mu buluku "
"aceitação";"tonda"
"aceitar";"tonda"
"aceitavel";"kya tonda"
"aceleração";"swalu"
"acelerar";"swalu"
"acendedor";"Nkwiki"
"acender";"Kwika "
"acento";"kunda"
"acentuar";"tula dimbu"
"acercar";"Zyeta, zunga"
"acertar";"Sikidisa, nonga"
"aceso";"kya kwama"
"acessivel";"kya nswa"
"acesso";"nswa"
"acessório";"lundilu"
"achado";"kimonekene"
"achador";"moni"
"achar";"wana"
"achatar";"bofola"
"acidente";"sumbula"
"acidez";"lusasu, lutantiku, Kazaza,Ngani"
"acido";"angani, Kyatadika, Ndudi nyami"
"aclamação";"fu kya sukila,Kembisa"
"aclamador";"lombi"
"aclamar";"lomba"
"aclimar";"sungi"
"aço";"sengo"
"acolher";"tambula"
"acomodar";"luvuvamu"
"acompanhamento";"kala ku mosi"
"acompanhar";"kala ku mosi"
"aconselhar";"longa"
"acontecer";"dimonekene"
"acontentar";"mukyese"
"acordado";"wasikama"
"acordar";"sikama"
"acordo";"nsilu"
"acorrentar";"kanga"
"acorrer";"tyatika"
"acosar";"kwana"
"acostar";"filama"
"acostumado";"fu"
"acostumar";"fu kya"
"acotecimento";"di bwidi"
"acreditar";"tonda"
"acrescentar";"kudikila"
"acrescento";"kya komina"
"actividade";"salu "
"activo";"nsadi"
"acto";"vangu"
"actor";"mvangi"
"actual";"wawu"
"actualidade";"kya wawu"
"actualmente";"kya wawu"
"actuar";"yatika"
"actução";"kya ya tika"
"açucar";"sukadi"
"açucarar";"zenzi sa"
"açucareiro";"fulu kya sukadi"
"acudir";"vambula, sadisa"
"acumulador (bacteria)";"lunda"
"acumular";"lunda kwa yingi"
"acusação";"vunina"
"acusado";"vunina"
"acusador";"mvunini"
"acusar";"vuna"
"adaptar";"bakidila"
"aderir";"kwenda"
"adiantamento";"kuntwala"
"adiantar";"kuntwala"
"adiante";"kuna ntwala"
"adiar";"kulula"
"adiçao(soma)";"kudikila"
"adicionar";"kudikila"
"adivinha";"banza"
"adivinhar";"banza"
"adjacente";"kundambu"
"adjunto";"nlandi"
"administração";"lumbu lwa mfumu"
"administrador";"mfumu"
"administrar";"tumina"
"admirado";"sivika"
"admirador";"nsiviki"
"admirar";"sivika"
"admiravel";"dya sivi"
"admirição";"sivika"
"admitir";"tambulwa"
"adobe";"ndobi"
"adoçante";"azenza"
"adoçar";"zenzi sa"
"adoecer";"yela"
"adolescência";"ntawuzi"
"adoptado";"sasa"
"adoptivo";"ansasi"
"adoração";"fukamena"
"adorado";"a fukamena"
"adorar";"fukama"
"adorável";"kya fukamena"
"adormecer";"nimba"
"adquirir";"sumba"
"aduaneiro";"nkwa-mpaku"
"aducativo";"nlogi"
"adulta";"mbuta"
"adúltera";"nkwa nsoki"
"adulterado";"kya fwaswa"
"adulterador";"nkwa nsoki"
"adulterar";"vanga nsoki"
"adultério";"fwasa"
"adúltero";"nkwa nsoki"
"adulto";"mbuta"
"adversário";"mpala"
"adverso";"kyavilakana"
"advertência";"luzayisu"
"advertir";"zayisa"
"advinho(adivinhador)";"banza"
"advogado";"nwanini, kimpovi"
"aéreo";"kya zulu"
"afamado";"zaya kani"
"afamar";"zaya kana"
"afastamento";"vengomona"
"afastar";"vengomona"
"afável";"ambote"
"afectar";"sambukila, bakama"
"afecto";"bakama"
"aferventar";"yidisa, vwakatisa"
"afiado";"kya songoka"
"afiador";"kya songila"
"afiar";"songa"
"afilhado";"mwana"
"afinal";"nsuka"
"afinar";"sindika"
"afirmação";"kyeleka"
"afirmar";"kyeleka"
"aflição";"mpasi"
"afligir";"vanga  ntantu"
"aflito";"mpasi"
"afogar";"dimuka"
"afónico";"kela"
"africano";"musi Afilika"
"afronta";"mesu ya mesu"
"afrontador";"wakasumuka"
"afrontar";"kasu"
"afrouxar";"malembe"
"afugentador";"ntinisi"
"afugentar";"tina"
"afundar";"dyuka"
"agarra";"baka"
"agarrado";"wabakama"
"agarrador";"baki"
"agarrar";"baka"
"agasalhar";"kudifukila"
"agasalho";"nzaka"
"agastamento";"lala"
"agastar";"lala"
"agência";"nzo ya mana"
"agente";"nsadi"
"agigantado";"anene"
"ágil";"lungalala"
"agilidade";"nzaki"
"agir";"vanga"
"agitação";"nkakalakani"
"agitado";"ntokani"
"agitador";"bangiki"
"agitar";"bangika"
"aglomerado";"ndoka"
"aglomerar";"kutakana"
"aglomerar";"ndoka"
"agonia";"nduki nduki"
"agora";"wawu"
"agosto";"ngode a nana"
"agradar";"tonda"
"agradavel";"kyambote"
"agradecer";"matondo"
"agradecido";"vutula matondo"
"agradecimento";"vutula matondo"
"agrado";"tonda"
"agravar";"sakisa"
"agravo";"sakisa"
"agravoso";"nsakisi"
"agredir";"nwanisa"
"agregar";"kumosi"
"agressivo";"ntokanisi"
"agrícola";"kyavatila"
"agricultar";"sala mu mpatu"
"agricultor";"mvati"
"agrupar";"bunda"
"água";"maza"
"agua corrente";"maza ma kukula"
"agua potavel";"maza mambote"
"aguaceiro";"lubungilu"
"aguado";"maza-maza"
"aguardar";"vingila"
"aguardente";"malavu ma tiya"
"aguçar";"songola"
"agudo";"kya songi"
"aguentar";"lenda"
"águia";"kimbembe"
"agulha";"tumbu"
"ainda";"yekinu"
"ajeitar";"tomesa"
"ajoelhar";"fukama"
"ajuda";"sadisa"
"ajudante";"nsadisi"
"ajudar";"sadisa"
"ajuizado";"angindu"
"ajuizar";"kwangindu"
"ajuntador";"nkutiki"
"ajuntamento";"kya kutika"
"ajuntar";"kutika"
"Ajusta";"singika"
"ajustar";"singika"
"ajuste";"singika"
"ala";"buka"
"alagado";"kya maza"
"alagamento";"fulu kya maza"
"alargar";"vavula"
"alarme";"luzayisu"
"alastrar";"mwanga"
"albino";"ndundu"
"alcançar";"lenda"
"alcofa";"kindakidi"
"álcool";"malavu mwangola, ma tya"
"alcoolismo";"nkolwa malavu"
"alcunha";"zina"
"aldeia";"vata"
"alegar";"Samuna"
"alegrar";"yangidika"
"alegre";"yangalala"
"alegria";"kyese, yangalala"
"aleijado";"vanguki"
"aleijar";"vangula"
"aleluia";"aleluya"
"além";"kuna"
"além de…";"kamono kaka ko"
"além disso";"Vana ntandu adyadi"
"alembamento, alambamento";"nkamalongo"
"alface";"lufwasa"
"alfaiataria";"Nzo ya tungila mvwatu"
"alfaiate";"ntungi a mvwatu"
"alfinete";"pengele"
"alfobre";"lubumbanu"
"alga";"sawula dya simbi"
"algarismo";"ntalu"
"algema";"singa a kangila muntu"
"algo";"kima"
"algodão";"vusu"
"alguém";"Muntu"
"algum";"Konso"
"alguma";"Konso"
"alheio";"kyangani"
"alho";"nyaza"
"ali";"kuna"
"aliança";"nlunga nlembu"
"alienavel";"kiteka, Kyangani"
"alimentar";"dya"
"alimento";"madya"
"alinhador";"singiki"
"alinhamento";"tenda"
"alinhar";"singika"
"alisador";"lenga"
"alisar";"lenga"
"aliviado";"avuvama"
"aliviar";"vuvika"
"alívio";"luvuvamu"
"alma";"Moyo, Muwanda "
"almoçar";"dya"
"almoço";"madya ma lumoso"
"almofada";"nkata, nfika"
"alojar";"tula mu nzo"
"alombar";"vanga kundubulu"
"alongamento";"lambula, levisa"
"alongar";"lambula"
"alta";"anda"
"alterar";"soba  "
"alto";"anda"
"altura";"leva"
"alucinar";"vidisa, Vidisa endungidi "
"aludir";"vwangesa, Dungula, Yika"
"alugar";"deva"
"aluguer";"ndevi"
"aluno";"nlogoki"
"alvará";"Nkanda wa swa"
"alvejar";"Tondwela"
"alvenaria";"Salu kya matadi "
"alvorecer";"Tewumuka, Yantika Okya entongwa "
"amaciar";"futila"
"amado";"nzolwa"
"amadurecer";"Bwakisa "
"amaldiçoador";"dye a kandu"
"amaldiçoar";"kandu"
"amamentar";"Yemeka"
"amanhã";"mabzi"
"amanhecer";"kya"
"amante";"nazolwa"
"amar";"zola"
"amarelo";"kyabwaka"
"amargar";"kya nkadi"
"amargo";"nkadi"
"amargoso";"nkadi"
"amargura";"kya nkadi"
"amargurado";"kya nkadi"
"amargurar";"tula nkadi"
"amarrado";"kanga"
"amarrador";"nkangi"
"amarradura";"kya kangama"
"amarrar";"kanga"
"amarrotar";"fwatikisa"
"amassar";"fwatikisa"
"amável";"nzolwa"
"ambaciar";"konzeka"
"ambição";"Loko,Keto, zinu"
"ambicioso";"Nkwa loko "
"ambiente";"kadilu"
"ambíguo";"nkumba"
"âmbito";"mutangwa"
"ambos";"wole"
"ambulância";"kumbi dya natina mbevo"
"ambulante";"nteke"
"ambular";"nteke ya nzila"
"ameaça";"kandikila"
"ameaçador";"nkadikidi"
"ameaçante";"nkadikidi"
"ameaçar";"kandikila"
"amedrontar";"vana wonga"
"amém";"amem"
"amêndoa";"bundu "
"amendoeira";"nti a bundu"
"amendoim";"nguba, Mpinda"
"amenizar";"tomesa"
"ameno";"kyambote"
"amigar-se";"Sompa,kwela, Zolela"
