"Portugues";"Kikongo"
"Braço direito";"koko kwa lunene"
"Braço esquerdo";"koko kwa lumoso"
"Brilhar com pouca intensidade";"Lezima kwa fyote"
"Brilho do sol";"Lezimu a mwinu"
"cabo de guerra ";"ntumi a masoda"
"certificar-se";"kudi tula umbangi"
"chamar atenção";"lukebisu"
"chefe de casa";"mfumu a nzo"
"cheiro agradavel";"nsunga "
"cheiro desagradavel";"nsudi"
"chocar (embate)";"wandama"
"chocar (ovos)";"butamena"
"chocar-se";"kudiwanda"
"chuvinha ou chuva fraca";"mvula malembe"
"Coisas pequenas";"yima ya fyioti"
